说明：用户奖励 = 0.4 * 系统奖励 - 0.6 * 个体成本惩罚 (其中 个体成本 = 加权归一化时延 + 加权归一化能耗) | 无人机奖励 = 0.3 * 系统奖励 + 0.7 * (接近中心 + 覆盖 + 关联接客 - 越界惩罚 - 碰撞惩罚)
Step,Agent_Type,Agent_ID,System_Reward,System_Cumulative_Reward,Agent_Step_Total_Reward,Agent_Cumulative_Reward,w1_System_Reward,User_Cost_Penalty,Norm_Delay_Ratio,Norm_Energy_Ratio,w_Sys_Part_Reward,Proximity_Reward,Coverage_Reward,Association_Bonus,Boundary_Penalty,Collision_Penalty
1,USER,4,-0.7955603367572498,-0.9660745878332846,-0.7082611929168052,-1.4410677219911392,-0.31822413470289995,-0.3900370582139052,0.6132658148017378,0.036795948888104266,0.0,0.0,0.0,0.0,0.0,0.0
1,USER,5,-0.7955603367572498,-0.9660745878332846,-0.7774073073924658,-1.2232118738257793,-0.31822413470289995,-0.4591831726895658,0.5842542517121679,0.05350015480111807,0.0,0.0,0.0,0.0,0.0,0.0
1,USER,6,-0.7955603367572498,-0.9660745878332846,-0.71112721555797,-1.2298582879838489,-0.31822413470289995,-0.3929030808550701,0.6177721397092297,0.03706632838255378,0.0,0.0,0.0,0.0,0.0,0.0
1,USER,7,-0.7955603367572498,-0.9660745878332846,-0.9889299159137295,-1.327373110552497,-0.31822413470289995,-0.6707057812108295,1.0542816333266962,0.06356133535801965,0.0,0.0,0.0,0.0,0.0,0.0
1,USER,8,-0.7955603367572498,-0.9660745878332846,-1.0478299118336443,-1.3383476039154742,-0.31822413470289995,-0.7296057771307444,1.147178894859661,0.06883073369157966,0.0,0.0,0.0,0.0,0.0,0.0
1,USER,9,-0.7955603367572498,-0.9660745878332846,-1.0247624602642451,-1.4573530605591296,-0.31822413470289995,-0.7065383255613452,1.110909316920354,0.06665455901522124,0.0,0.0,0.0,0.0,0.0,0.0
1,UAV,0,-0.7955603367572498,-0.9660745878332846,0.1567149825080558,0.28360647420989404,0.0,0.0,0.0,0.0,-0.23866810102717492,0.26483297647890114,0.0,0.3,0.0,0.0
1,UAV,1,-0.7955603367572498,-0.9660745878332846,-0.03949885752701249,0.17197862157868163,0.0,0.0,0.0,0.0,-0.23866810102717492,0.2845274907145178,0.0,0.0,0.0,0.0
1,UAV,2,-0.7955603367572498,-0.9660745878332846,-0.05898850340809958,0.1336901309027358,0.0,0.0,0.0,0.0,-0.23866810102717492,0.25668513945582194,0.0,0.0,0.0,0.0
2,USER,0,-0.6,-1.5660745878332847,-1.3271978569664824,-2.704146192823447,-0.24,-1.0871978569664824,1.4245254939288292,0.08547152963572975,0.0,0.0,0.0,0.0,0.0,0.0
