Step,User_ID,Latency_s,Association,Offload_Ratio,Energy_J,Cum_Energy_J
13,5,1.262621162068366,Local,0.0,0.1262621162068366,3.978283258302926
13,6,3.0527489827303844,Local,0.0,0.3052748982730384,3.440040828126612
13,7,1.0123975981882196,UAV_0,0.025758315372378413,0.10346554071553203,3.6233100425864686
13,8,2.6530981009464156,Local,0.0,0.26530981009464155,3.9157286463848915
13,9,0.9616998442236637,Local,0.0,0.09616998442236636,2.46594388567293
14,0,3.381574097794183,UAV_2,0.20089533839444065,0.2330618392404175,3.755555649329942
14,1,1.772873207978211,UAV_0,0.40427095260324347,0.21197803691701378,4.688916066053879
14,2,2.441251731258663,Local,0.0,0.2441251731258663,2.966675708784057
14,3,1.4660156204122012,UAV_1,0.6278914612248641,0.22574414577336238,3.4132922382302904
14,4,2.1228761744931797,Local,0.0,0.21228761744931796,3.6869940541385535
14,5,1.7442221642170042,UAV_1,0.11913742773843526,0.22292618772351516,4.201209446026441
14,6,0.9052085063685053,Local,0.0,0.09052085063685052,3.5305616787634624
14,7,1.510566212218754,Local,0.0,0.15105662122187538,3.774366663808344
14,8,1.6196628066919179,Local,0.0,0.16196628066919178,4.077694927054083
14,9,1.3563154868472864,Local,0.0,0.13563154868472865,2.6015754343576587
15,0,2.34020087980494,Local,0.0,0.23402008798049392,3.989575737310436
15,1,1.3023924735075503,Local,0.0,0.130239247350755,4.819155313404634
15,2,3.7082080942995908,Local,0.0,0.370820809429959,3.3374965182140164
15,3,2.545585009255877,Local,0.0,0.2545585009255877,3.667850739155878
15,4,3.675738308019198,Local,0.0,0.36757383080191974,4.054567884940473
15,5,0.9839556589153373,UAV_0,0.09568915050121922,0.09929606875474295,4.300505514781184
15,6,1.0583373588848428,UAV_1,0.13201883182998725,0.11293375214640287,3.6434954309098653
15,7,9.25316128558732,UAV_1,0.1559898675229236,0.5682279162336458,4.34259458004199
15,8,3.560152902340224,Local,0.0,0.3560152902340223,4.433710217288105
15,9,3.30124494107192,Local,0.0,0.3301244941071919,2.931699928464851
16,0,3.4748936177419036,Local,0.0,0.3474893617741903,4.337065099084627
16,1,2.0790104306721404,UAV_1,0.9174381114051376,0.2442069860068579,5.063362299411492
16,2,0.9401882303353717,Local,0.0,0.09401882303353716,3.4315153412475534
16,3,1.397295977713626,Local,0.0,0.1397295977713626,3.8075803369272405
16,4,2.6598846414999913,Local,0.0,0.2659884641499991,4.320556349090473
16,5,1.5477612604897641,UAV_1,0.14228407149321268,0.4090345446382662,4.70954005941945
16,6,1.3409735729106371,UAV_1,0.1578848796787964,0.15077003216563878,3.794265463075504
16,7,1.6915213241282054,Local,0.0,0.1691521324128205,4.51174671245481
16,8,1.1465222125269872,Local,0.0,0.11465222125269871,4.548362438540804
16,9,2.1493760652943905,UAV_1,0.018737871102316294,0.24523204031521992,3.1769319687800706
17,0,1.2000297844378538,Local,0.0,0.12000297844378537,4.457068077528412
